Number,Country,Site,Latitude,Longitude,n,reduction,lithology,pH_0-5,pH_5-15,pH_15-30,cec_0-5,cec_5-15,cec_15-30,Elevation,SO2_1990,NOX_1990,PM10_1990,SOMO35_1990,O3_1990,MAXO3_1990
42,Germany,Germany,49.34444,8.11555,80,0,sandstone,5.1,5.3,5.4,258,200,197,490,34.53059,9.33407,29.53135,4555.51074,30.46928,45.49285
43,Germany,Germany,50.4393,7.7555,50,0,quartzite,5,5.1,5.1,298,221,202,420,31.89219,11.40779,29.68112,3559.94092,27.48132,41.36524
44,Germany,Germany,50.68778,7.94889,85,0,quartzite,4.9,5,5,300,215,181,490,26.90517,7.02982,27.39205,3767.26392,30.84402,43.23656
45,Germany,Germany,50.4393,7.75555,80,0,quartzite,5,5.1,5.1,298,221,202,420,31.89219,11.40779,29.68112,3559.94092,27.48132,41.36524
46,Germany,Germany,50.81,7.97416,90,0,shale,4.7,4.9,4.9,285,194,164,440,34.8512,10.23555,28.85188,3372.84937,27.73499,40.74652
47,Germany,Germany,50.69063,8.159,93,0,basalt,5,5.1,5.1,315,207,181,530,25.12784,6.81413,26.94433,3781.55469,30.76742,43.4199
48,Germany,Germany,50.70145,8.2329,110,0,spilite,5.7,5.9,5.9,266,182,153,334,34.027,10.59264,29.68877,3310.16064,28.08773,40.75921
49,Switzerland,Switzerland,47.22852,8.92916,27,0,"sandstone, partly marl",5.4,5.5,5.5,309,231,200,472,4.09224,6.14705,19.08358,5935.8999,35.00944,52.34099
50,Switzerland,Switzerland,47.28673,8.95479,24,0,"conglomerate, breccia",5.3,5.3,5.4,482,348,313,1106,4.09224,6.14705,19.08358,5935.8999,35.00944,52.34099
51,Switzerland,Switzerland,47.25386,8.93852,26,0,"conglomerate, breccia",5.8,5.9,5.9,318,266,209,618,4.09224,6.14705,19.08358,5935.8999,35.00944,52.34099
52,Switzerland,Switzerland,47.16697,8.72347,31,0,"clay, silt, sand",5.4,5.5,5.5,355,278,250,829,3.89353,5.49461,17.6468,6831.79541,40.729,56.15616
53,Switzerland,Switzerland,47.04095,8.737,19,0,"limestone, partly marl",5,5,5.1,446,287,283,1506,1.8188,1.6432,11.47005,7323.41992,45.23738,58.07843
54,Switzerland,Switzerland,46.92306,9.16675,25,0,"marly shale, calcareous phyllite",5.7,5.8,5.8,382,296,276,1180,1.01875,0.93299,7.80438,6573.82031,45.94312,55.3976
55,Switzerland,Switzerland,47.05598,8.76291,15,1,"marly shale, calcareous phyllite",5.1,5.2,5.2,479,376,347,1198,1.8188,1.6432,11.47005,7323.41992,45.23738,58.07843
56,Switzerland,Switzerland,47.00433,9.10381,23,0,"conglomerate, breccia",5.5,5.6,5.6,386,296,288,1022,1.17121,1.02113,8.1662,6433.86279,44.03425,54.83969
57,Switzerland,Switzerland,47.0316,9.0611,30,0,"sand, gravel, cobble",5.6,5.7,5.7,347,286,289,627,2.15358,2.8652,11.4426,6336.06006,41.58757,54.45342
58,Switzerland,Switzerland,47.06697,8.82121,30,1,"limestone, partly marl",5.2,5.3,5.4,365,292,282,1000,1.64316,1.50244,10.69348,7196.75,44.74514,57.29633
59,Switzerland,Switzerland,47.00137,9.09612,30,0,"conglomerate, breccia",5.6,5.7,5.7,347,271,283,845,2.15358,2.8652,11.4426,6336.06006,41.58757,54.45342
60,Switzerland,Switzerland,46.93025,9.21343,32,0,"limestone, partly marl",5,5.1,5.1,457,337,301,1723,1.00379,0.73293,7.15642,6633.31299,46.44051,55.61914
61,Switzerland,Switzerland,47.2525,9.04131,30,0,"sandstone, partly marl",5.3,5.4,5.4,342,270,233,856,3.0506,3.44531,16.37211,6364.1167,39.66213,54.72023
